file,line,severity,confidence,domain,subdomain,category,check_id,message,evidence
/home/yichen/Desktop/Qwen_Security_Prompt04/F001.c,48,medium,review,memory,memory_string,dangerous_function,dangerous_function:sprintf,sprintf writes without an explicit destination size,"sprintf(nt, ""%s %s"", paras[idx].text, text);"
/home/yichen/Desktop/Qwen_Security_Prompt04/F001.c,27,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"sscanf(line, ""%s"", cmd);"
/home/yichen/Desktop/Qwen_Security_Prompt04/F001.c,33,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"sscanf(rest, ""%s"", id);"
/home/yichen/Desktop/Qwen_Security_Prompt04/F001.c,42,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"sscanf(rest, ""%s"", id);"
/home/yichen/Desktop/Qwen_Security_Prompt04/F001.c,54,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"sscanf(rest, ""%s"", id);"
/home/yichen/Desktop/Qwen_Security_Prompt04/F001.c,64,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"sscanf(rest, ""%s"", id);"
/home/yichen/Desktop/Qwen_Security_Prompt04/F001.c,74,high,confirmed,memory,memory_string,input,scanf_unbounded_string_conversion,sscanf format contains unbounded %s conversion,"sscanf(rest, ""%s"", id);"
/home/yichen/Desktop/Qwen_Security_Prompt04/F001.c,37,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,paras[pcount].id = strdup(id);
/home/yichen/Desktop/Qwen_Security_Prompt04/F001.c,38,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,paras[pcount].text = strdup(text);
/home/yichen/Desktop/Qwen_Security_Prompt04/F001.c,47,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,char *nt = malloc(strlen(paras[idx].text) + strlen(text) + 2);
