file,line,severity,confidence,domain,subdomain,category,check_id,message,evidence
/home/yichen/Desktop/Gemini_Baseline_Code01/F001.c,44,high,confirmed,memory,memory_string,dangerous_function,dangerous_function:strcat,"strcat depends on remaining destination capacity, which is not proven here","strcat(notebook[i].text, text);"
/home/yichen/Desktop/Gemini_Baseline_Code01/F001.c,34,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"notebook = realloc(notebook, (count + 1) * sizeof(Paragraph));"
/home/yichen/Desktop/Gemini_Baseline_Code01/F001.c,35,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,notebook[count].id = strdup(id);
/home/yichen/Desktop/Gemini_Baseline_Code01/F001.c,36,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,notebook[count].text = strdup(text);
/home/yichen/Desktop/Gemini_Baseline_Code01/F001.c,43,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"notebook[i].text = realloc(notebook[i].text, old_len + text_len + 1);"
/home/yichen/Desktop/Gemini_Baseline_Code01/F001.c,52,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,notebook[i].text = strdup(text);
/home/yichen/Desktop/Gemini_Baseline_Code01/F001.c,68,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"notebook = realloc(notebook, count * sizeof(Paragraph));"
/home/yichen/Desktop/Gemini_Baseline_Code01/F001.c,68,medium,review,memory,memory_integer,integer,allocation_size_without_overflow_guard,allocation size multiplication has no visible overflow guard,"notebook = realloc(notebook, count * sizeof(Paragraph));"
/home/yichen/Desktop/Gemini_Baseline_Code01/F001.c,44,high,confirmed,memory,memory_string,string,tainted_sink:strcat,externally controlled input appears to reach strcat argument 2,"strcat(notebook[i].text, text);"
/home/yichen/Desktop/Gemini_Baseline_Code01/F002.c,59,medium,review,memory,memory_string,dangerous_function,dangerous_function:strcpy,strcpy is used without a proven safe source/destination bound,"strcpy(new_msg, msg1);"
/home/yichen/Desktop/Gemini_Baseline_Code01/F002.c,60,medium,review,memory,memory_string,dangerous_function,dangerous_function:strcat,"strcat depends on remaining destination capacity, which is not proven here","strcat(new_msg, "" "");"
/home/yichen/Desktop/Gemini_Baseline_Code01/F002.c,61,high,confirmed,memory,memory_string,dangerous_function,dangerous_function:strcat,"strcat depends on remaining destination capacity, which is not proven here","strcat(new_msg, msg2);"
/home/yichen/Desktop/Gemini_Baseline_Code01/F002.c,33,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"records = realloc(records, (count + 1) * sizeof(Record));"
/home/yichen/Desktop/Gemini_Baseline_Code01/F002.c,34,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,records[count].tag = strdup(tag);
/home/yichen/Desktop/Gemini_Baseline_Code01/F002.c,35,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,records[count].message = strdup(msg);
/home/yichen/Desktop/Gemini_Baseline_Code01/F002.c,58,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,char *new_msg = malloc(len1 + len2 + 2);
/home/yichen/Desktop/Gemini_Baseline_Code01/F002.c,62,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"records = realloc(records, (count + 1) * sizeof(Record));"
/home/yichen/Desktop/Gemini_Baseline_Code01/F002.c,62,medium,review,memory,memory_integer,integer,allocation_size_without_overflow_guard,allocation size multiplication has no visible overflow guard,"records = realloc(records, (count + 1) * sizeof(Record));"
/home/yichen/Desktop/Gemini_Baseline_Code01/F002.c,63,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,records[count].tag = strdup(newtag);
/home/yichen/Desktop/Gemini_Baseline_Code01/F002.c,84,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"records = realloc(records, count * sizeof(Record));"
/home/yichen/Desktop/Gemini_Baseline_Code01/F002.c,84,medium,review,memory,memory_integer,integer,allocation_size_without_overflow_guard,allocation size multiplication has no visible overflow guard,"records = realloc(records, count * sizeof(Record));"
/home/yichen/Desktop/Gemini_Baseline_Code01/F002.c,59,high,confirmed,memory,memory_string,string,tainted_sink:strcpy,externally controlled input appears to reach strcpy argument 2,"strcpy(new_msg, msg1);"
/home/yichen/Desktop/Gemini_Baseline_Code01/F002.c,61,high,confirmed,memory,memory_string,string,tainted_sink:strcat,externally controlled input appears to reach strcat argument 2,"strcat(new_msg, msg2);"
/home/yichen/Desktop/Gemini_Baseline_Code01/F003.c,37,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,table[i].expansion = strdup(exp);
/home/yichen/Desktop/Gemini_Baseline_Code01/F003.c,43,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"table = realloc(table, (count + 1) * sizeof(Alias));"
/home/yichen/Desktop/Gemini_Baseline_Code01/F003.c,44,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,table[count].name = strdup(name);
/home/yichen/Desktop/Gemini_Baseline_Code01/F003.c,45,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,table[count].expansion = strdup(exp);
/home/yichen/Desktop/Gemini_Baseline_Code01/F003.c,69,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,table[i].name = strdup(new_name);
/home/yichen/Desktop/Gemini_Baseline_Code01/F003.c,85,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"table = realloc(table, count * sizeof(Alias));"
/home/yichen/Desktop/Gemini_Baseline_Code01/F003.c,85,medium,review,memory,memory_integer,integer,allocation_size_without_overflow_guard,allocation size multiplication has no visible overflow guard,"table = realloc(table, count * sizeof(Alias));"
/home/yichen/Desktop/Gemini_Baseline_Code01/F004.c,73,low,review,memory,memory_string,memory,dangerous_function:strncpy,strncpy can leave the destination unterminated unless null termination is proven,"strncpy(key_buf, p + 1, key_len);"
/home/yichen/Desktop/Gemini_Baseline_Code01/F004.c,37,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,vars[i].value = strdup(val);
/home/yichen/Desktop/Gemini_Baseline_Code01/F004.c,43,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"vars = realloc(vars, (count + 1) * sizeof(Variable));"
/home/yichen/Desktop/Gemini_Baseline_Code01/F004.c,44,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,vars[count].key = strdup(key);
/home/yichen/Desktop/Gemini_Baseline_Code01/F004.c,45,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,vars[count].value = strdup(val);
/home/yichen/Desktop/Gemini_Baseline_Code01/F004.c,60,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"vars = realloc(vars, count * sizeof(Variable));"
/home/yichen/Desktop/Gemini_Baseline_Code01/F004.c,60,medium,review,memory,memory_integer,integer,allocation_size_without_overflow_guard,allocation size multiplication has no visible overflow guard,"vars = realloc(vars, count * sizeof(Variable));"
/home/yichen/Desktop/Gemini_Baseline_Code01/F004.c,72,medium,likely,memory,memory_heap,memory,unchecked_allocation:malloc,malloc result does not appear to be checked for NULL nearby,char *key_buf = malloc(key_len + 1);
/home/yichen/Desktop/Gemini_Baseline_Code01/F005.c,29,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"lines = realloc(lines, (count + 1) * sizeof(char *));"
/home/yichen/Desktop/Gemini_Baseline_Code01/F005.c,33,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,lines[idx] = strdup(text);
/home/yichen/Desktop/Gemini_Baseline_Code01/F005.c,38,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"lines = realloc(lines, (count + 1) * sizeof(char *));"
/home/yichen/Desktop/Gemini_Baseline_Code01/F005.c,39,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,lines[count] = strdup(args);
/home/yichen/Desktop/Gemini_Baseline_Code01/F005.c,50,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"lines = realloc(lines, count * sizeof(char *));"
/home/yichen/Desktop/Gemini_Baseline_Code01/F005.c,50,medium,review,memory,memory_integer,integer,allocation_size_without_overflow_guard,allocation size multiplication has no visible overflow guard,"lines = realloc(lines, count * sizeof(char *));"
/home/yichen/Desktop/Gemini_Baseline_Code01/F005.c,61,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,lines[idx] = strdup(text);
/home/yichen/Desktop/Gemini_Baseline_Code01/F006.c,40,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"inv = realloc(inv, (total_items + 1) * sizeof(InvItem));"
/home/yichen/Desktop/Gemini_Baseline_Code01/F006.c,41,medium,likely,memory,memory_heap,memory,unchecked_allocation:strdup,strdup result does not appear to be checked for NULL nearby,inv[total_items].item = strdup(name);
/home/yichen/Desktop/Gemini_Baseline_Code01/F006.c,70,medium,likely,memory,memory_heap,memory,realloc_direct_assign,realloc result is assigned directly to the original pointer,"inv = realloc(inv, total_items * sizeof(InvItem));"
/home/yichen/Desktop/Gemini_Baseline_Code01/F006.c,70,medium,review,memory,memory_integer,integer,allocation_size_without_overflow_guard,allocation size multiplication has no visible overflow guard,"inv = realloc(inv, total_items * sizeof(InvItem));"
